urban_treated,urban_control,rural_treated,rural_control,,A列平均值,139.1526316,,144.0716269,,,
31,149,6,0,,,,,,,,
286,55,0,5,,,,,,,,
153,93,4,0,,,,,,,,
157,243,4,31,,,,,,,,
53,0,1,0,,,,,,,,
268,0,3,5,,,,,,,,
99,1,31,3,,,,,,,,
13,128,7,1,,,,,,,,
181,0,5,0,,,,,,,,
474,188,0,18,,,,,,,,
13,47,32,3,,,,,,,,
197,371,5,11,,,,,,,,
2,260,16,1,,,,,,,,
0,392,10,8,,,,,,,,
15,260,2,3,,,,,,,,
0,45,1,14,,,,,,,,
132,0,7,4,,,,,,,,
9,0,2,3,,,,,,,,
56,125,4,72,,,,,,,,
516,54,57,5,,,,,,,,
257,12,14,4,,,,,,,,
49,81,14,1,,,,,,,,
235,30,5,3,,,,,,,,
325,0,11,3,,,,,,,,
34,26,1,7,,,,,,,,
127,96,11,7,,,,,,,,
123,42,0,0,,,,,,,,
127,17,0,13,,,,,,,,
232,97,9,5,,,,,,,,
192,186,5,0,,,,,,,,
111,0,71,30,,,,,,,,
126,159,20,20,,,,,,,,
305,0,2,12,,,,,,,,
0,122,7,71,,,,,,,,
6,75,3,13,,,,,,,,
77,239,25,0,,,,,,,,
386,283,2,60,,,,,,,,
275,257,3,6,,,,,,,,
0,510,24,16,,,,,,,,
85,698,2,29,,,,,,,,
47,1265,2,41,,,,,,,,
336,39,0,25,,,,,,,,
0,462,3,39,,,,,,,,
131,1,4,2,,,,,,,,
172,62,3,4,,,,,,,,
92,0,11,8,,,,,,,,
60,0,3,9,,,,,,,,
188,438,0,79,,,,,,,,
0,262,1,62,,,,,,,,
0,97,14,54,,,,,,,,
195,68,5,6,,,,,,,,
130,22,6,13,,,,,,,,
28,59,10,0,,,,,,,,
305,81,4,3,,,,,,,,
0,32,1,29,,,,,,,,
0,53,16,2,,,,,,,,
229,5,19,0,,,,,,,,
412,15,16,5,,,,,,,,
400,0,2,24,,,,,,,,
114,37,16,84,,,,,,,,
297,29,1,9,,,,,,,,
1178,55,3,0,,,,,,,,
374,35,31,9,,,,,,,,
23,426,16,1,,,,,,,,
458,1,9,54,,,,,,,,
169,31,37,0,,,,,,,,
126,32,10,44,,,,,,,,
431,0,4,1,,,,,,,,
408,125,0,4,,,,,,,,
829,42,10,5,,,,,,,,
333,59,0,2,,,,,,,,
191,38,0,0,,,,,,,,
380,118,5,68,,,,,,,,
297,0,7,93,,,,,,,,
40,22,1,0,,,,,,,,
168,16,27,9,,,,,,,,
463,68,22,0,,,,,,,,
652,550,17,57,,,,,,,,
341,14,45,0,,,,,,,,
74,0,10,8,,,,,,,,
150,1447,12,2,,,,,,,,
0,8,9,0,,,,,,,,
939,19,4,44,,,,,,,,
59,35,22,44,,,,,,,,
137,442,2,25,,,,,,,,
482,436,4,21,,,,,,,,
0,689,2,10,,,,,,,,
701,329,8,8,,,,,,,,
1835,52,1,2,,,,,,,,
598,53,7,56,,,,,,,,
185,0,5,0,,,,,,,,
0,101,7,0,,,,,,,,
313,3,14,18,,,,,,,,
361,85,0,0,,,,,,,,
62,91,1,2,,,,,,,,
247,113,6,8,,,,,,,,
1537,76,9,0,,,,,,,,
0,67,5,53,,,,,,,,
4,21,3,5,,,,,,,,
644,34,7,1,,,,,,,,
0,186,5,7,,,,,,,,
2026,21,6,4,,,,,,,,
98,61,26,4,,,,,,,,
477,182,7,7,,,,,,,,
226,263,0,8,,,,,,,,
156,0,8,49,,,,,,,,
1145,11,47,4,,,,,,,,
1041,87,0,131,,,,,,,,
0,327,15,0,,,,,,,,
144,36,10,0,,,,,,,,
344,3,3,0,,,,,,,,
10,127,5,63,,,,,,,,
103,0,0,20,,,,,,,,
68,45,1,3,,,,,,,,
418,57,14,4,,,,,,,,
659,5,0,14,,,,,,,,
201,0,8,8,,,,,,,,
97,26,0,23,,,,,,,,
370,36,2,0,,,,,,,,
80,53,11,21,,,,,,,,
233,188,1,10,,,,,,,,
147,74,2,0,,,,,,,,
3,12,7,46,,,,,,,,
117,0,3,0,,,,,,,,
122,12,2,92,,,,,,,,
59,7,12,18,,,,,,,,
5,50,0,7,,,,,,,,
167,42,0,1,,,,,,,,
180,18,2,20,,,,,,,,
7,2,5,9,,,,,,,,
265,13,7,5,,,,,,,,
1,50,48,0,,,,,,,,
47,18,25,3,,,,,,,,
121,48,67,21,,,,,,,,
103,162,8,2,,,,,,,,
276,58,56,56,,,,,,,,
333,94,61,,,,,,,,,
85,53,67,,,,,,,,,
34,98,65,,,,,,,,,
36,616,12,,,,,,,,,
137,20,7,,,,,,,,,
346,64,45,,,,,,,,,
36,0,17,,,,,,,,,
76,72,30,,,,,,,,,
55,2,20,,,,,,,,,
4,319,14,,,,,,,,,
0,67,0,,,,,,,,,
248,55,128,,,,,,,,,
0,223,0,,,,,,,,,
721,0,15,,,,,,,,,
358,102,11,,,,,,,,,
408,79,77,,,,,,,,,
115,97,24,,,,,,,,,
82,135,66,,,,,,,,,
80,23,18,,,,,,,,,
7,915,33,,,,,,,,,
56,21,18,,,,,,,,,
373,539,14,,,,,,,,,
540,301,0,,,,,,,,,
158,218,75,,,,,,,,,
61,55,32,,,,,,,,,
21,107,4,,,,,,,,,
159,124,31,,,,,,,,,
82,94,25,,,,,,,,,
104,192,33,,,,,,,,,
46,62,118,,,,,,,,,
219,1164,11,,,,,,,,,
71,102,16,,,,,,,,,
121,0,14,,,,,,,,,
23,380,61,,,,,,,,,
117,111,25,,,,,,,,,
98,343,12,,,,,,,,,
121,91,7,,,,,,,,,
136,0,4,,,,,,,,,
42,49,44,,,,,,,,,
2,200,18,,,,,,,,,
1,134,104,,,,,,,,,
197,336,71,,,,,,,,,
85,38,19,,,,,,,,,
45,40,32,,,,,,,,,
195,307,2,,,,,,,,,
51,412,27,,,,,,,,,
9,35,22,,,,,,,,,
1,232,79,,,,,,,,,
49,21,7,,,,,,,,,
2,209,108,,,,,,,,,
