urban_treated,urban_control,rural_treated,rural_control,,A列平均值,139.1526316,,144.0716269,,,
64,,42,,,,,,,,,
10,,2,,,,,,,,,
13,,22,,,,,,,,,
218,,11,,,,,,,,,
29,,85,,,,,,,,,
30,,29,,,,,,,,,
612,,73,,,,,,,,,
286,,12,,,,,,,,,
169,,11,,,,,,,,,
0,,23,,,,,,,,,
66,,39,,,,,,,,,
376,,10,,,,,,,,,
6,,3,,,,,,,,,
343,,0,,,,,,,,,
1,,1,,,,,,,,,
156,,41,,,,,,,,,
21,,22,,,,,,,,,
57,,7,,,,,,,,,
86,,17,,,,,,,,,
122,,73,,,,,,,,,
20,,24,,,,,,,,,
101,,17,,,,,,,,,
23,,6,,,,,,,,,
140,,4,,,,,,,,,
63,,8,,,,,,,,,
155,,38,,,,,,,,,
231,,1,,,,,,,,,
4,,1,,,,,,,,,
43,,16,,,,,,,,,
0,,19,,,,,,,,,
79,,10,,,,,,,,,
86,,24,,,,,,,,,
762,,27,,,,,,,,,
90,,6,,,,,,,,,
201,,2,,,,,,,,,
61,,39,,,,,,,,,
0,,28,,,,,,,,,
122,,3,,,,,,,,,
169,,8,,,,,,,,,
460,,36,,,,,,,,,
75,,13,,,,,,,,,
266,,0,,,,,,,,,
256,,3,,,,,,,,,
287,,11,,,,,,,,,
21,,85,,,,,,,,,
920,,24,,,,,,,,,
74,,19,,,,,,,,,
52,,9,,,,,,,,,
245,,0,,,,,,,,,
31,,29,,,,,,,,,
309,,37,,,,,,,,,
409,,3,,,,,,,,,
261,,31,,,,,,,,,
131,,0,,,,,,,,,
281,,11,,,,,,,,,
96,,9,,,,,,,,,
275,,0,,,,,,,,,
1481,,4,,,,,,,,,
93,,113,,,,,,,,,
13,,20,,,,,,,,,
247,,65,,,,,,,,,
106,,3,,,,,,,,,
165,,20,,,,,,,,,
74,,1,,,,,,,,,
39,,10,,,,,,,,,
65,,32,,,,,,,,,
35,,160,,,,,,,,,
35,,22,,,,,,,,,
165,,0,,,,,,,,,
30,,0,,,,,,,,,
491,,55,,,,,,,,,
35,,41,,,,,,,,,
130,,2,,,,,,,,,
205,,38,,,,,,,,,
196,,4,,,,,,,,,
277,,1,,,,,,,,,
102,,42,,,,,,,,,
44,,25,,,,,,,,,
106,,,,,,,,,,,
96,,,,,,,,,,,
130,,,,,,,,,,,
278,,,,,,,,,,,
80,,,,,,,,,,,
86,,,,,,,,,,,
36,,,,,,,,,,,
101,,,,,,,,,,,
8,,,,,,,,,,,
75,,,,,,,,,,,
6,,,,,,,,,,,
259,,,,,,,,,,,
36,,,,,,,,,,,
249,,,,,,,,,,,
24,,,,,,,,,,,
16,,,,,,,,,,,
103,,,,,,,,,,,
23,,,,,,,,,,,
217,,,,,,,,,,,
111,,,,,,,,,,,
224,,,,,,,,,,,
67,,,,,,,,,,,
112,,,,,,,,,,,
435,,,,,,,,,,,
362,,,,,,,,,,,
118,,,,,,,,,,,
251,,,,,,,,,,,
0,,,,,,,,,,,
23,,,,,,,,,,,
194,,,,,,,,,,,
12,,,,,,,,,,,
56,,,,,,,,,,,
202,,,,,,,,,,,
22,,,,,,,,,,,
98,,,,,,,,,,,
362,,,,,,,,,,,
46,,,,,,,,,,,
299,,,,,,,,,,,
329,,,,,,,,,,,
883,,,,,,,,,,,
2,,,,,,,,,,,
112,,,,,,,,,,,
139,,,,,,,,,,,
15,,,,,,,,,,,
424,,,,,,,,,,,
91,,,,,,,,,,,
0,,,,,,,,,,,
77,,,,,,,,,,,
10,,,,,,,,,,,
0,,,,,,,,,,,
81,,,,,,,,,,,
186,,,,,,,,,,,
54,,,,,,,,,,,
65,,,,,,,,,,,
533,,,,,,,,,,,
15,,,,,,,,,,,
587,,,,,,,,,,,
35,,,,,,,,,,,
77,,,,,,,,,,,
61,,,,,,,,,,,
104,,,,,,,,,,,
0,,,,,,,,,,,
32,,,,,,,,,,,
37,,,,,,,,,,,
195,,,,,,,,,,,
841,,,,,,,,,,,
197,,,,,,,,,,,
58,,,,,,,,,,,
261,,,,,,,,,,,
0,,,,,,,,,,,
308,,,,,,,,,,,
0,,,,,,,,,,,
1,,,,,,,,,,,
51,,,,,,,,,,,
127,,,,,,,,,,,
61,,,,,,,,,,,
157,,,,,,,,,,,
0,,,,,,,,,,,
182,,,,,,,,,,,
87,,,,,,,,,,,
15,,,,,,,,,,,
4,,,,,,,,,,,
0,,,,,,,,,,,
103,,,,,,,,,,,
34,,,,,,,,,,,
280,,,,,,,,,,,
505,,,,,,,,,,,
50,,,,,,,,,,,
82,,,,,,,,,,,
105,,,,,,,,,,,
296,,,,,,,,,,,
454,,,,,,,,,,,
254,,,,,,,,,,,
14,,,,,,,,,,,
35,,,,,,,,,,,
95,,,,,,,,,,,
75,,,,,,,,,,,
18,,,,,,,,,,,
2,,,,,,,,,,,
174,,,,,,,,,,,
3,,,,,,,,,,,
90,,,,,,,,,,,
0,,,,,,,,,,,
103,,,,,,,,,,,
135,,,,,,,,,,,
75,,,,,,,,,,,
132,,,,,,,,,,,
25,,,,,,,,,,,
0,,,,,,,,,,,
125,,,,,,,,,,,
1035,,,,,,,,,,,
469,,,,,,,,,,,
24,,,,,,,,,,,
0,,,,,,,,,,,
125,,,,,,,,,,,
0,,,,,,,,,,,
34,,,,,,,,,,,
48,,,,,,,,,,,
117,,,,,,,,,,,
0,,,,,,,,,,,
154,,,,,,,,,,,
344,,,,,,,,,,,
223,,,,,,,,,,,
24,,,,,,,,,,,
327,,,,,,,,,,,
94,,,,,,,,,,,
17,,,,,,,,,,,
542,,,,,,,,,,,
271,,,,,,,,,,,
55,,,,,,,,,,,
22,,,,,,,,,,,
4,,,,,,,,,,,
23,,,,,,,,,,,
0,,,,,,,,,,,
37,,,,,,,,,,,
52,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
94,,,,,,,,,,,
49,,,,,,,,,,,
7,,,,,,,,,,,
38,,,,,,,,,,,
188,,,,,,,,,,,
152,,,,,,,,,,,
4,,,,,,,,,,,
105,,,,,,,,,,,
4,,,,,,,,,,,
38,,,,,,,,,,,
20,,,,,,,,,,,
9,,,,,,,,,,,
15,,,,,,,,,,,
10,,,,,,,,,,,
41,,,,,,,,,,,
17,,,,,,,,,,,
17,,,,,,,,,,,
80,,,,,,,,,,,
10,,,,,,,,,,,
70,,,,,,,,,,,
25,,,,,,,,,,,
12,,,,,,,,,,,
647,,,,,,,,,,,
97,,,,,,,,,,,
276,,,,,,,,,,,
13,,,,,,,,,,,
35,,,,,,,,,,,
12,,,,,,,,,,,
3,,,,,,,,,,,
91,,,,,,,,,,,
69,,,,,,,,,,,
104,,,,,,,,,,,
45,,,,,,,,,,,
5,,,,,,,,,,,
32,,,,,,,,,,,
190,,,,,,,,,,,
165,,,,,,,,,,,
8,,,,,,,,,,,
1,,,,,,,,,,,
49,,,,,,,,,,,
0,,,,,,,,,,,
53,,,,,,,,,,,
22,,,,,,,,,,,
116,,,,,,,,,,,
0,,,,,,,,,,,
90,,,,,,,,,,,
12,,,,,,,,,,,
20,,,,,,,,,,,
3,,,,,,,,,,,
11,,,,,,,,,,,
29,,,,,,,,,,,
90,,,,,,,,,,,
116,,,,,,,,,,,
11,,,,,,,,,,,
12,,,,,,,,,,,
16,,,,,,,,,,,
46,,,,,,,,,,,
27,,,,,,,,,,,
79,,,,,,,,,,,
12,,,,,,,,,,,
359,,,,,,,,,,,
155,,,,,,,,,,,
19,,,,,,,,,,,
58,,,,,,,,,,,
63,,,,,,,,,,,
166,,,,,,,,,,,
63,,,,,,,,,,,
197,,,,,,,,,,,
180,,,,,,,,,,,
18,,,,,,,,,,,
1,,,,,,,,,,,
3,,,,,,,,,,,
16,,,,,,,,,,,
301,,,,,,,,,,,
108,,,,,,,,,,,
7,,,,,,,,,,,
0,,,,,,,,,,,
5,,,,,,,,,,,
30,,,,,,,,,,,
19,,,,,,,,,,,
33,,,,,,,,,,,
322,,,,,,,,,,,
228,,,,,,,,,,,
165,,,,,,,,,,,
483,,,,,,,,,,,
6,,,,,,,,,,,
108,,,,,,,,,,,
286,,,,,,,,,,,
0,,,,,,,,,,,
236,,,,,,,,,,,
27,,,,,,,,,,,
53,,,,,,,,,,,
0,,,,,,,,,,,
4,,,,,,,,,,,
50,,,,,,,,,,,
26,,,,,,,,,,,
42,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
324,,,,,,,,,,,
29,,,,,,,,,,,
403,,,,,,,,,,,
124,,,,,,,,,,,
39,,,,,,,,,,,
83,,,,,,,,,,,
0,,,,,,,,,,,
114,,,,,,,,,,,
3,,,,,,,,,,,
36,,,,,,,,,,,
176,,,,,,,,,,,
6,,,,,,,,,,,
23,,,,,,,,,,,
214,,,,,,,,,,,
136,,,,,,,,,,,
16,,,,,,,,,,,
106,,,,,,,,,,,
0,,,,,,,,,,,
287,,,,,,,,,,,
198,,,,,,,,,,,
204,,,,,,,,,,,
50,,,,,,,,,,,
0,,,,,,,,,,,
83,,,,,,,,,,,
244,,,,,,,,,,,
4,,,,,,,,,,,
149,,,,,,,,,,,
33,,,,,,,,,,,
243,,,,,,,,,,,
0,,,,,,,,,,,
9,,,,,,,,,,,
0,,,,,,,,,,,
87,,,,,,,,,,,
6,,,,,,,,,,,
34,,,,,,,,,,,
8,,,,,,,,,,,
31,,,,,,,,,,,
2,,,,,,,,,,,
31,,,,,,,,,,,
49,,,,,,,,,,,
105,,,,,,,,,,,
22,,,,,,,,,,,
26,,,,,,,,,,,
104,,,,,,,,,,,
249,,,,,,,,,,,
69,,,,,,,,,,,
177,,,,,,,,,,,
42,,,,,,,,,,,
11,,,,,,,,,,,
1,,,,,,,,,,,
0,,,,,,,,,,,
18,,,,,,,,,,,
1,,,,,,,,,,,
24,,,,,,,,,,,
8,,,,,,,,,,,
19,,,,,,,,,,,
224,,,,,,,,,,,
42,,,,,,,,,,,
0,,,,,,,,,,,
161,,,,,,,,,,,
206,,,,,,,,,,,
31,,,,,,,,,,,
306,,,,,,,,,,,
262,,,,,,,,,,,
694,,,,,,,,,,,
148,,,,,,,,,,,
261,,,,,,,,,,,
620,,,,,,,,,,,
667,,,,,,,,,,,
65,,,,,,,,,,,
132,,,,,,,,,,,
114,,,,,,,,,,,
27,,,,,,,,,,,
0,,,,,,,,,,,
150,,,,,,,,,,,
26,,,,,,,,,,,
157,,,,,,,,,,,
3,,,,,,,,,,,
295,,,,,,,,,,,
276,,,,,,,,,,,
99,,,,,,,,,,,
0,,,,,,,,,,,
81,,,,,,,,,,,
506,,,,,,,,,,,
185,,,,,,,,,,,
180,,,,,,,,,,,
0,,,,,,,,,,,
1,,,,,,,,,,,
303,,,,,,,,,,,
59,,,,,,,,,,,
282,,,,,,,,,,,
165,,,,,,,,,,,
788,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
182,,,,,,,,,,,
63,,,,,,,,,,,
25,,,,,,,,,,,
2,,,,,,,,,,,
13,,,,,,,,,,,
3,,,,,,,,,,,
232,,,,,,,,,,,
